,"Apple MacBook Air 13 Retina MGND3 Gold (M1 8-Core, GPU 7-Core, 8GB, 256Gb)","Apple MacBook Air 13 Retina MGN63 Space Gray (M1 8-Core, GPU 7-Core, 8GB, 256Gb)","Apple MacBook Air 13 Retina MGN93 Silver (M1 8-Core, GPU 7-Core, 8GB, 256Gb)","Apple MacBook Air 13 Retina Z0YJ000VS Space Gray (Intel Core i5 1,1 GHz, 8GB 256Gb, Intel Iris Plus Graphics)","Apple MacBook Air 13 Retina Gold Z12A0008Q (M1 8-Core, GPU 7-Core, 16GB, 256Gb)","Apple MacBook Air 13 Retina Z1240004P Space Gray (M1 8-Core, GPU 7-Core 16GB, 256Gb)","Apple MacBook Air 13 Retina Z0YL000N1 Gold (Intel Core i5 1,1 GHz, 16GB 256Gb, Intel Iris Plus Graphics)","Apple MacBook Air 13 Retina Z0YJ000VT Space Gray (Intel Core i5 1,1 GHz, 16GB 256Gb, Intel Iris Plus Graphics)","Apple MacBook Air 13 Retina Z0YL000QK Gold (Intel Core i5 1,1 GHz, 16GB 512Gb, Intel Iris Plus Graphics)","Apple MacBook Air 13 Retina MLXW3 Space Gray (M2 8-Core, GPU 8-Core, 8 GB, 256 Gb)"
price,99990,99990,101990,119990,121990,121990,124990,124990,128990,139990
price-07-17,99990,99990,101990,119990,121990,121990,124990,124990,128990,139990
price-07-18,99990,99990,101990,119990,121990,121990,124990,124990,128990,139990
price-07-19,99990,99990,101990,119990,121990,121990,124990,124990,128990,139990
price-07-20,99990,99990,101990,119990,121990,121990,124990,124990,128990,139990
price-07-21,99990,99990,101990,119990,121990,121990,124990,124990,128990,139990
price-07-22,99990,99990,101990,119990,121990,121990,124990,124990,128990,139990
price-07-24,99990,99990,101990,119990,121990,121990,124990,124990,128990,139990
price-07-25,99990,99990,101990,119990,121990,121990,124990,124990,128990,139990
price-07-26,99990,99990,101990,119990,121990,121990,124990,124990,128990,139990
price-07-27,99990,99990,101990,119990,121990,121990,124990,124990,128990,139990
price-07-28,99990,99990,101990,119990,121990,121990,124990,124990,128990,139990
price-07-29,99990,99990,101990,119990,121990,121990,124990,124990,128990,139990
price-07-30,99990,99990,101990,119990,121990,121990,124990,124990,128990,139990
price-07-31,99990,99990,101990,119990,121990,121990,124990,124990,128990,139990
price-08-01,99990,99990,101990,119990,121990,121990,124990,124990,128990,139990
price-08-02,91990,94990,91990,119990,121990,121990,124990,124990,128990,134990
price-08-03,91990,94990,91990,119990,121990,121990,124990,124990,128990,129990
price-08-04,91990,94990,91990,119990,121990,121990,124990,124990,128990,129990
price-08-05,91990,94990,91990,119990,121990,121990,124990,124990,128990,129990
price-08-06,91990,94990,91990,119990,121990,121990,124990,124990,128990,129990
price-08-07,91990,94990,91990,119990,121990,121990,124990,124990,128990,129990
price-08-08,91990,94990,91990,119990,121990,121990,124990,124990,128990,129990
price-08-09,91990,94990,91990,119990,121990,121990,124990,124990,128990,129990
price-08-10,91990,94990,91990,119990,121990,121990,124990,124990,128990,129990
price-08-11,91990,94990,91990,119990,121990,121990,124990,124990,128990,129990
price-08-12,87990,89990,87990,119990,121990,121990,124990,124990,128990,129990
price-08-13,87990,89990,87990,119990,121990,121990,124990,124990,128990,129990
price-08-14,87990,89990,87990,119990,121990,121990,124990,124990,128990,103990
price-08-15,87990,89990,87990,119990,121990,121990,124990,124990,128990,103990
price-08-16,87990,89990,87990,119990,121990,121990,124990,124990,128990,103990
price-08-17,87990,89990,87990,119990,121990,121990,124990,124990,128990,103990
price-08-18,87990,89990,87990,119990,121990,121990,124990,124990,128990,103990
price-08-19,87990,89990,87990,119990,121990,121990,124990,124990,128990,103990
price-08-20,87990,89990,87990,119990,121990,121990,124990,124990,128990,103990
price-08-21,87990,89990,87990,119990,121990,121990,124990,124990,128990,103990
price-08-22,87990,89990,87990,119990,121990,121990,124990,124990,128990,103990
price-08-23,87990,89990,87990,119990,121990,121990,124990,124990,128990,103990
price-08-24,87990,89990,87990,119990,121990,121990,124990,124990,128990,103990
price-08-25,87990,89990,87990,119990,121990,121990,124990,124990,128990,103990
price-08-26,82990,82990,87990,119990,121990,121990,124990,124990,128990,103990
price-08-27,82990,82990,87990,119990,121990,121990,124990,124990,128990,103990
price-08-28,82990,82990,87990,119990,121990,121990,124990,124990,128990,103990
price-08-29,75990,75990,87990,119990,121990,121990,124990,124990,128990,96990
